PROCS,BATCH,BATCH_NO_STEAL,FC_50_50,FC_80_20
1,1298.0,1300.0,40269,44733
2,249.0,1202.0,35766,41417
3,298.0,1772.0,32496,36915
4,360.0,2396.0,29514,33171
5,413.0,2610.0,26766,30069
6,427.0,2621.0,24531,27108
7,498.0,3400.0,22692,24789
8,543.0,3644.0,4604,1256
9,414.0,1859.0,4366,1156
10,418.0,1748.0,4817,1108
11,432.0,1654.0,4778,1139
12,435.0,1542.0,4946,1123
13,429.0,1606.0,4813,995
14,427.0,1548.0,4965,976
15,414.0,1597.0,5033,936
16,421.0,1580.0,4805,1077
