1,3867.651000,713.661000,385.580000,354.903000
2,21344.358000,2656.924000,662.810000,221.632000
3,22361.536000,3177.528000,644.184000,198.842000
4,30082.810000,3606.466000,744.745000,175.853000
5,32320.945000,3834.980000,770.048000,185.664000
6,35568.460000,4270.497000,828.447000,206.952000
7,37921.447000,4695.384000,896.051000,176.066000
8,38499.630000,4960.033000,965.888000,186.612000
9,49470.780000,6093.879000,1291.390000,293.770000
10,52910.524000,6689.678000,1446.190000,323.594000
11,58973.548000,7355.984000,1561.312000,381.795000
12,60315.740000,7859.720000,1763.322000,370.094000
13,62025.599000,7945.364000,1730.961000,380.409000
14,64169.778000,8288.183000,1840.737000,399.971000
15,62606.192000,8234.861000,1906.467000,409.943000
16,64573.130000,8392.069000,1925.812000,382.261000
